銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"上場海外新興国","1681","東証","○","-","-","130","-","無","0.00","1,391","-16","-1.06 %","-","24","12,910","-1.20 %","貸借","0.00"
"上場日本高配当","1698","東証","○","-","-","10","-","無","0.00","1,648","-15","-0.90 %","-","20","1,140","-0.96 %","貸借","0.50"
"ＮＦＮＯＭＵＲＡ原油","1699","東証","○","-","-","4,880","-","無","0.00","371","-2","-0.80 %","-","85","266,350","-1.06 %","貸借","0.00"
"省電舎ＨＤ","1711","東証","○","-","-","200","-","無","1.90","407","7","2.77 %","-","22","7,700","-0.48 %","信用","0.00"
"ダイセキ環境ソリューション","1712","東証","○","-","-","100","-","無","0.00","626","10","-1.57 %","-","26","7,600","-1.57 %","貸借","0.00"
"第一カッター興業","1716","東証","○","-","-","0","-","無","0.00","1,691","-21","-1.22 %","-","85","19,300","-4.89 %","貸借","0.00"
"明豊ファシリティワークス","1717","東証","○","-","-","500","-","無","1.20","445","-1","-0.22 %","-","61","21,000","-1.11 %","信用","0.00"
"美樹工業","1718","東証","○","-","-","0","12/25","有","10.30","3,835","15","-1.41 %","-","14","1,800","-1.66 %","信用","0.00"
"安藤・間","1719","東証","○","-","○","7,600","-","無","0.00","728","-13","-0.13 %","-","1,380","712,600","-3.44 %","貸借","0.00"
"東急建設","1720","東証","○","-","○","9,200","-","無","0.00","723","-14","-1.89 %","-","719","323,600","-3.60 %","貸借","0.00"
"コムシスホールディングス","1721","東証","○","-","○","2,500","-","無","0.00","2,721","26","0.11 %","-","1,380","514,200","-1.12 %","貸借","0.00"
"ミサワホーム","1722","東証","○","-","-","1,000","09/25","有","0.00","1,011","-8","-0.49 %","-","182","71,700","-1.55 %","貸借","0.05"
"日本電技","1723","東証","○","-","-","200","-","無","5.20","2,850","-79","-2.66 %","-","22","7,400","-3.25 %","信用","0.00"
"シンクレイヤ","1724","東証","○","-","-","3,200","-","無","1.90","832","-22","-3.92 %","-","2,867","1,077,500","-25.71 %","信用","0.00"
"ビーアールホールディングス","1726","東証","○","-","-","900","09/25","有","0.60","316","2","0.31 %","-","112","39,500","-0.94 %","信用","0.00"
"ミサワホーム中国","1728","東証","○","-","-","200","-","無","1.20","262","4","1.15 %","-","27","7,800","-1.50 %","信用","0.00"
"麻生フオームクリート","1730","東証","○","-","-","100","-","無","1.70","521","-1","0.00 %","-","5","800","-3.33 %","信用","0.00"
"オーテック","1736","東証","○","-","-","600","-","無","3.10","2,236","50","0.00 %","-","1","100","-1.49 %","信用","0.00"
"三井金属エンジニア","1737","東証","○","-","-","100","-","無","1.60","952","2","0.00 %","-","14","2,200","-1.85 %","信用","0.00"
"シード平和","1739","東証","○","-","-","0","-","無","2.30","704","-2","-0.70 %","-","9","2,300","-2.22 %","信用","0.00"
"クレアホールディングス","1757","東証","○","-","-","27,900","-","無","0.10","16","1","0.00 %","-","66","1,081,400","-11.11 %","信用","0.00"
